"signal_type","signal_label","fixture_id","date","round","team","opponent","score","result","ball_possession","total_shots","shots_on_goal","shot_accuracy_pct","goals_per_shot_on_goal","corner_kicks","fouls","yellow_cards","passes_pct","signal_strength","note"
"big_score","大比分样本","979139","2022-12-18T15:00:00+00:00","Final","Argentina","France","3-3","Win","54","20","10","50","0.3","6","26","5","83","6","Argentina vs France 打出 3-3，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","855756","2022-11-28T10:00:00+00:00","Group Stage - 2","Serbia","Cameroon","3-3","Draw","59","15","5","33.3","0.6","3","13","2","81","6","Serbia vs Cameroon 打出 3-3，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","855754","2022-11-27T16:00:00+00:00","Group Stage - 2","Croatia","Canada","4-1","Win","48","13","10","76.9","0.4","5","13","2","84","5","Croatia vs Canada 打出 4-1，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","855757","2022-11-28T13:00:00+00:00","Group Stage - 2","Ghana","South Korea","3-2","Win","37","7","3","42.9","1","5","9","2","79","5","Ghana vs South Korea 打出 3-2，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","855757","2022-11-28T13:00:00+00:00","Group Stage - 2","South Korea","Ghana","2-3","Loss","63","22","7","31.8","0.29","12","13","2","86","5","South Korea vs Ghana 打出 2-3，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","855754","2022-11-27T16:00:00+00:00","Group Stage - 2","Canada","Croatia","1-4","Loss","52","8","2","25","0.5","2","5","2","84","5","Canada vs Croatia 打出 1-4，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","855745","2022-11-24T16:00:00+00:00","Group Stage - 1","Portugal","Ghana","3-2","Win","62","11","5","45.5","0.6","3","14","2","89","5","Portugal vs Ghana 打出 3-2，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","977705","2022-12-05T19:00:00+00:00","Round of 16","Brazil","South Korea","4-1","Win","53","18","9","50","0.44","5","8","0","89","5","Brazil vs South Korea 打出 4-1，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","855772","2022-12-02T19:00:00+00:00","Group Stage - 3","Switzerland","Serbia","3-2","Win","46","14","7","50","0.43","0","14","4","77","5","Switzerland vs Serbia 打出 3-2，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","977705","2022-12-05T19:00:00+00:00","Round of 16","South Korea","Brazil","1-4","Loss","47","8","6","75","0.17","4","13","1","86","5","South Korea vs Brazil 打出 1-4，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","855745","2022-11-24T16:00:00+00:00","Group Stage - 1","Ghana","Portugal","2-3","Loss","38","9","3","33.3","0.67","3","19","4","81","5","Ghana vs Portugal 打出 2-3，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","871850","2022-11-22T19:00:00+00:00","Group Stage - 1","Australia","France","1-4","Loss","38","4","1","25","1","1","11","3","84","5","Australia vs France 打出 1-4，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","871850","2022-11-22T19:00:00+00:00","Group Stage - 1","France","Australia","4-1","Win","62","23","7","30.4","0.57","8","5","0","89","5","France vs Australia 打出 4-1，大比分比赛常与节奏、心理和临场波动有关。"
"big_score","大比分样本","855772","2022-12-02T19:00:00+00:00","Group Stage - 3","Serbia","Switzerland","2-3","Loss","54","12","4","33.3","0.5","2","18","7","78","5","Serbia vs Switzerland 打出 2-3，大比分比赛常与节奏、心理和临场波动有关。"
"corner_pressure_no_goal","角球压制无进球","855771","2022-12-02T19:00:00+00:00","Group Stage - 3","Brazil","Cameroon","0-1","Loss","65","21","7","33.3","0","11","14","2","88","11","Brazil 获得 11 个角球但没有进球，说明定位球或持续压制未转化为结果。"
"corner_pressure_no_goal","角球压制无进球","855738","2022-11-22T13:00:00+00:00","Group Stage - 1","Denmark","Tunisia","0-0","Draw","61","11","5","45.5","0","11","9","2","84","11","Denmark 获得 11 个角球但没有进球，说明定位球或持续压制未转化为结果。"
"corner_pressure_no_goal","角球压制无进球","855738","2022-11-22T13:00:00+00:00","Group Stage - 1","Tunisia","Denmark","0-0","Draw","39","13","1","7.7","0","9","10","1","75","9","Tunisia 获得 9 个角球但没有进球，说明定位球或持续压制未转化为结果。"
"corner_pressure_no_goal","角球压制无进球","978088","2022-12-10T15:00:00+00:00","Quarter-finals","Portugal","Morocco","0-1","Loss","73","12","3","25","0","9","9","1","86","9","Portugal 获得 9 个角球但没有进球，说明定位球或持续压制未转化为结果。"
"corner_pressure_no_goal","角球压制无进球","855753","2022-11-27T13:00:00+00:00","Group Stage - 2","Belgium","Morocco","0-2","Loss","67","10","3","30","0","9","10","1","88","9","Belgium 获得 9 个角球但没有进球，说明定位球或持续压制未转化为结果。"
"corner_pressure_no_goal","角球压制无进球","855763","2022-11-30T15:00:00+00:00","Group Stage - 3","France","Tunisia","0-1","Loss","66","10","3","30","0","8","6","0","86","8","France 获得 8 个角球但没有进球，说明定位球或持续压制未转化为结果。"
"corner_pressure_no_goal","角球压制无进球","977345","2022-12-06T15:00:00+00:00","Round of 16","Spain","Morocco","0-0","Loss","77","13","1","7.7","0","8","14","1","91","8","Spain 获得 8 个角球但没有进球，说明定位球或持续压制未转化为结果。"
"corner_pressure_no_goal","角球压制无进球","855749","2022-11-25T19:00:00+00:00","Group Stage - 2","USA","England","0-0","Draw","44","10","1","10","0","7","15","0","83","7","USA 获得 7 个角球但没有进球，说明定位球或持续压制未转化为结果。"
"discipline_risk","纪律风险","977794","2022-12-09T19:00:00+00:00","Quarter-finals","Netherlands","Argentina","2-2","Loss","52","6","2","33.3","1","2","30","8","83","54","Netherlands 犯规 30 次，黄牌 8 张，且未能赢球。身体对抗和纪律风险需要关注。"
"discipline_risk","纪律风险","855772","2022-12-02T19:00:00+00:00","Group Stage - 3","Serbia","Switzerland","2-3","Loss","54","12","4","33.3","0.5","2","18","7","78","39","Serbia 犯规 18 次，黄牌 7 张，且未能赢球。身体对抗和纪律风险需要关注。"
"discipline_risk","纪律风险","855765","2022-11-30T19:00:00+00:00","Group Stage - 3","Saudi Arabia","Mexico","1-2","Loss","39","10","2","20","0.5","1","20","6","58","38","Saudi Arabia 犯规 20 次，黄牌 6 张，且未能赢球。身体对抗和纪律风险需要关注。"
"discipline_risk","纪律风险","978072","2022-12-09T15:00:00+00:00","Quarter-finals","Brazil","Croatia","1-1","Loss","49","21","11","52.4","0.09","7","24","3","89","33","Brazil 犯规 24 次，黄牌 3 张，且未能赢球。身体对抗和纪律风险需要关注。"
"discipline_risk","纪律风险","855745","2022-11-24T16:00:00+00:00","Group Stage - 1","Ghana","Portugal","2-3","Loss","38","9","3","33.3","0.67","3","19","4","81","31","Ghana 犯规 19 次，黄牌 4 张，且未能赢球。身体对抗和纪律风险需要关注。"
"discipline_risk","纪律风险","871853","2022-11-27T10:00:00+00:00","Group Stage - 2","Japan","Costa Rica","0-1","Loss","57","13","3","23.1","0","5","22","3","87","31","Japan 犯规 22 次，黄牌 3 张，且未能赢球。身体对抗和纪律风险需要关注。"
"discipline_risk","纪律风险","855752","2022-11-26T19:00:00+00:00","Group Stage - 2","Mexico","Argentina","0-2","Loss","41","4","1","25","0","2","19","4","77","31","Mexico 犯规 19 次，黄牌 4 张，且未能赢球。身体对抗和纪律风险需要关注。"
"discipline_risk","纪律风险","979139","2022-12-18T15:00:00+00:00","Final","France","Argentina","3-3","Loss","46","10","5","50","0.6","5","19","3","77","28","France 犯规 19 次，黄牌 3 张，且未能赢球。身体对抗和纪律风险需要关注。"
"discipline_risk","纪律风险","855736","2022-11-20T16:00:00+00:00","Group Stage - 1","Qatar","Ecuador","0-2","Loss","47","5","0","0","0","1","15","4","81","27","Qatar 犯规 15 次，黄牌 4 张，且未能赢球。身体对抗和纪律风险需要关注。"
"discipline_risk","纪律风险","866681","2022-11-21T19:00:00+00:00","Group Stage - 1","USA","Wales","1-1","Draw","59","6","1","16.7","1","5","15","4","87","27","USA 犯规 15 次，黄牌 4 张，且未能赢球。身体对抗和纪律风险需要关注。"
"discipline_risk","纪律风险","855767","2022-12-01T15:00:00+00:00","Group Stage - 3","Canada","Morocco","1-2","Loss","59","5","0","0","0","6","14","4","86","26","Canada 犯规 14 次，黄牌 4 张，且未能赢球。身体对抗和纪律风险需要关注。"
"discipline_risk","纪律风险","855770","2022-12-02T15:00:00+00:00","Group Stage - 3","Ghana","Uruguay","0-2","Loss","51","10","4","40","0","5","18","2","80","24","Ghana 犯规 18 次，黄牌 2 张，且未能赢球。身体对抗和纪律风险需要关注。"
"discipline_risk","纪律风险","855761","2022-11-29T15:00:00+00:00","Group Stage - 3","Ecuador","Senegal","1-2","Loss","61","9","4","44.4","0.25","3","23","0","77","23","Ecuador 犯规 23 次，黄牌 0 张，且未能赢球。身体对抗和纪律风险需要关注。"
"high_possession_not_win","高控球未胜","855768","2022-12-01T19:00:00+00:00","Group Stage - 3","Spain","Japan","1-2","Loss","82","12","5","41.7","0.2","2","6","0","92","82","Spain 控球率 82%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","977345","2022-12-06T15:00:00+00:00","Round of 16","Spain","Morocco","0-0","Loss","77","13","1","7.7","0","8","14","1","91","77","Spain 控球率 77%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855741","2022-11-23T13:00:00+00:00","Group Stage - 1","Germany","Japan","1-2","Loss","74","26","9","34.6","0.11","6","6","0","89","74","Germany 控球率 74%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","978088","2022-12-10T15:00:00+00:00","Quarter-finals","Portugal","Morocco","0-1","Loss","73","12","3","25","0","9","9","1","86","73","Portugal 控球率 73%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855737","2022-11-22T10:00:00+00:00","Group Stage - 1","Argentina","Saudi Arabia","1-2","Loss","69","15","6","40","0.17","9","7","0","85","69","Argentina 控球率 69%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","871854","2022-11-30T15:00:00+00:00","Group Stage - 3","Denmark","Australia","0-1","Loss","69","13","3","23.1","0","6","10","1","83","69","Denmark 控球率 69%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855753","2022-11-27T13:00:00+00:00","Group Stage - 2","Belgium","Morocco","0-2","Loss","67","10","3","30","0","9","10","1","88","67","Belgium 控球率 67%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855763","2022-11-30T15:00:00+00:00","Group Stage - 3","France","Tunisia","0-1","Loss","66","10","3","30","0","8","6","0","86","66","France 控球率 66%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855740","2022-11-23T10:00:00+00:00","Group Stage - 1","Croatia","Morocco","0-0","Draw","65","5","2","40","0","5","11","0","86","65","Croatia 控球率 65%，但结果为 Draw。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855771","2022-12-02T19:00:00+00:00","Group Stage - 3","Brazil","Cameroon","0-1","Loss","65","21","7","33.3","0","11","14","2","88","65","Brazil 控球率 65%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855750","2022-11-26T13:00:00+00:00","Group Stage - 2","Saudi Arabia","Poland","0-2","Loss","64","16","5","31.2","0","5","15","2","85","64","Saudi Arabia 控球率 64%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855755","2022-11-27T19:00:00+00:00","Group Stage - 2","Spain","Germany","1-1","Draw","64","7","3","42.9","0.33","6","13","1","85","64","Spain 控球率 64%，但结果为 Draw。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855757","2022-11-28T13:00:00+00:00","Group Stage - 2","South Korea","Ghana","2-3","Loss","63","22","7","31.8","0.29","12","13","2","86","63","South Korea 控球率 63%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","866682","2022-11-25T10:00:00+00:00","Group Stage - 2","Wales","Iran","0-2","Loss","62","10","3","30","0","2","9","1","78","62","Wales 控球率 62%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855761","2022-11-29T15:00:00+00:00","Group Stage - 3","Ecuador","Senegal","1-2","Loss","61","9","4","44.4","0.25","3","23","0","77","61","Ecuador 控球率 61%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855739","2022-11-22T16:00:00+00:00","Group Stage - 1","Mexico","Poland","0-0","Draw","61","11","4","36.4","0","6","14","2","83","61","Mexico 控球率 61%，但结果为 Draw。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","978488","2022-12-14T19:00:00+00:00","Semi-finals","Morocco","France","0-2","Loss","61","13","3","23.1","0","3","11","1","87","61","Morocco 控球率 61%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855769","2022-12-02T15:00:00+00:00","Group Stage - 3","Portugal","South Korea","1-2","Loss","61","13","6","46.2","0.17","4","10","0","88","61","Portugal 控球率 61%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855738","2022-11-22T13:00:00+00:00","Group Stage - 1","Denmark","Tunisia","0-0","Draw","61","11","5","45.5","0","11","9","2","84","61","Denmark 控球率 61%，但结果为 Draw。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","978279","2022-12-13T19:00:00+00:00","Semi-finals","Croatia","Argentina","0-3","Loss","61","12","2","16.7","0","4","8","2","88","61","Croatia 控球率 61%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","866681","2022-11-21T19:00:00+00:00","Group Stage - 1","USA","Wales","1-1","Draw","59","6","1","16.7","1","5","15","4","87","59","USA 控球率 59%，但结果为 Draw。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855756","2022-11-28T10:00:00+00:00","Group Stage - 2","Serbia","Cameroon","3-3","Draw","59","15","5","33.3","0.6","3","13","2","81","59","Serbia 控球率 59%，但结果为 Draw。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","855767","2022-12-01T15:00:00+00:00","Group Stage - 3","Canada","Morocco","1-2","Loss","59","5","0","0","0","6","14","4","86","59","Canada 控球率 59%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","976533","2022-12-03T15:00:00+00:00","Round of 16","USA","Netherlands","1-3","Loss","58","17","8","47.1","0.12","5","5","0","83","58","USA 控球率 58%，但结果为 Loss。控球高不等于一定赢球。"
"high_possession_not_win","高控球未胜","871852","2022-11-26T10:00:00+00:00","Group Stage - 2","Tunisia","Australia","0-1","Loss","58","14","4","28.6","0","5","16","3","76","58","Tunisia 控球率 58%，但结果为 Loss。控球高不等于一定赢球。"
"high_shot_accuracy","射正效率高","978279","2022-12-13T19:00:00+00:00","Semi-finals","Argentina","Croatia","3-0","Win","39","9","7","77.8","0.43","2","15","2","83","77.8","Argentina 射正率 77.8%，射门质量较高。"
"high_shot_accuracy","射正效率高","855754","2022-11-27T16:00:00+00:00","Group Stage - 2","Croatia","Canada","4-1","Win","48","13","10","76.9","0.4","5","13","2","84","76.9","Croatia 射正率 76.9%，射门质量较高。"
"high_shot_accuracy","射正效率高","977705","2022-12-05T19:00:00+00:00","Round of 16","South Korea","Brazil","1-4","Loss","47","8","6","75","0.17","4","13","1","86","75","South Korea 射正率 75%，射门质量较高。"
"high_shot_accuracy","射正效率高","871855","2022-12-01T19:00:00+00:00","Group Stage - 3","Costa Rica","Germany","2-4","Loss","32","7","5","71.4","0.4","1","3","1","75","71.4","Costa Rica 射正率 71.4%，射门质量较高。"
"high_shot_accuracy","射正效率高","978036","2022-12-10T19:00:00+00:00","Quarter-finals","France","England","2-1","Win","43","8","5","62.5","0.4","2","14","3","81","62.5","France 射正率 62.5%，射门质量较高。"
"high_shot_accuracy","射正效率高","855743","2022-11-24T10:00:00+00:00","Group Stage - 1","Cameroon","Switzerland","0-1","Loss","49","8","5","62.5","0","5","10","1","85","62.5","Cameroon 射正率 62.5%，射门质量较高。"
"high_shot_accuracy","射正效率高","855756","2022-11-28T10:00:00+00:00","Group Stage - 2","Cameroon","Serbia","3-3","Draw","41","13","8","61.5","0.38","4","8","2","72","61.5","Cameroon 射正率 61.5%，射门质量较高。"
"high_shot_accuracy","射正效率高","977706","2022-12-06T19:00:00+00:00","Round of 16","Portugal","Switzerland","6-1","Win","48","15","9","60","0.67","6","12","0","83","60","Portugal 射正率 60%，射门质量较高。"
"high_shot_accuracy","射正效率高","855770","2022-12-02T15:00:00+00:00","Group Stage - 3","Uruguay","Ghana","2-0","Win","49","12","7","58.3","0.29","2","11","5","77","58.3","Uruguay 射正率 58.3%，射门质量较高。"
"high_shot_accuracy","射正效率高","976533","2022-12-03T15:00:00+00:00","Round of 16","Netherlands","USA","3-1","Win","42","11","6","54.5","0.5","4","10","2","76","54.5","Netherlands 射正率 54.5%，射门质量较高。"
"high_shot_accuracy","射正效率高","855735","2022-11-21T13:00:00+00:00","Group Stage - 1","England","Iran","6-2","Win","78","13","7","53.8","0.86","8","9","0","90","53.8","England 射正率 53.8%，射门质量较高。"
"high_shot_accuracy","射正效率高","978072","2022-12-09T15:00:00+00:00","Quarter-finals","Brazil","Croatia","1-1","Loss","49","21","11","52.4","0.09","7","24","3","89","52.4","Brazil 射正率 52.4%，射门质量较高。"
"high_shot_accuracy","射正效率高","855764","2022-11-30T19:00:00+00:00","Group Stage - 3","Argentina","Poland","2-0","Win","73","23","12","52.2","0.17","9","11","1","92","52.2","Argentina 射正率 52.2%，射门质量较高。"
"high_shot_accuracy","射正效率高","871854","2022-11-30T15:00:00+00:00","Group Stage - 3","Australia","Denmark","1-0","Win","31","8","4","50","0.25","2","11","2","64","50","Australia 射正率 50%，射门质量较高。"
"high_shot_accuracy","射正效率高","979139","2022-12-18T15:00:00+00:00","Final","Argentina","France","3-3","Win","54","20","10","50","0.3","6","26","5","83","50","Argentina 射正率 50%，射门质量较高。"
"high_shot_accuracy","射正效率高","978036","2022-12-10T19:00:00+00:00","Quarter-finals","England","France","1-2","Loss","57","16","8","50","0.12","5","10","1","88","50","England 射正率 50%，射门质量较高。"
"high_shot_accuracy","射正效率高","979139","2022-12-18T15:00:00+00:00","Final","France","Argentina","3-3","Loss","46","10","5","50","0.6","5","19","3","77","50","France 射正率 50%，射门质量较高。"
"high_shot_accuracy","射正效率高","855772","2022-12-02T19:00:00+00:00","Group Stage - 3","Switzerland","Serbia","3-2","Win","46","14","7","50","0.43","0","14","4","77","50","Switzerland 射正率 50%，射门质量较高。"
"high_shot_accuracy","射正效率高","976643","2022-12-04T15:00:00+00:00","Round of 16","France","Poland","3-1","Win","55","16","8","50","0.38","7","10","1","86","50","France 射正率 50%，射门质量较高。"
"high_shot_accuracy","射正效率高","976534","2022-12-04T19:00:00+00:00","Round of 16","England","Senegal","3-0","Win","61","8","4","50","0.75","3","16","0","86","50","England 射正率 50%，射门质量较高。"
"high_shot_accuracy","射正效率高","977705","2022-12-05T19:00:00+00:00","Round of 16","Brazil","South Korea","4-1","Win","53","18","9","50","0.44","5","8","0","89","50","Brazil 射正率 50%，射门质量较高。"
"low_possession_win","低控球赢球","855768","2022-12-01T19:00:00+00:00","Group Stage - 3","Japan","Spain","2-1","Win","18","6","3","50","0.67","0","9","3","67","82","Japan 控球率仅 18%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","977345","2022-12-06T15:00:00+00:00","Round of 16","Morocco","Spain","0-0","Win","23","6","2","33.3","0","0","15","1","71","77","Morocco 控球率仅 23%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","855741","2022-11-23T13:00:00+00:00","Group Stage - 1","Japan","Germany","2-1","Win","26","12","4","33.3","0.5","6","14","0","71","74","Japan 控球率仅 26%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","978088","2022-12-10T15:00:00+00:00","Quarter-finals","Morocco","Portugal","1-0","Win","27","9","3","33.3","0.33","3","15","3","71","73","Morocco 控球率仅 27%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","855737","2022-11-22T10:00:00+00:00","Group Stage - 1","Saudi Arabia","Argentina","2-1","Win","31","3","2","66.7","1","2","21","6","68","69","Saudi Arabia 控球率仅 31%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","871854","2022-11-30T15:00:00+00:00","Group Stage - 3","Australia","Denmark","1-0","Win","31","8","4","50","0.25","2","11","2","64","69","Australia 控球率仅 31%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","855753","2022-11-27T13:00:00+00:00","Group Stage - 2","Morocco","Belgium","2-0","Win","33","10","4","40","0.5","1","14","1","84","67","Morocco 控球率仅 33%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","855763","2022-11-30T15:00:00+00:00","Group Stage - 3","Tunisia","France","1-0","Win","34","5","3","60","0.33","7","14","1","78","66","Tunisia 控球率仅 34%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","855771","2022-12-02T19:00:00+00:00","Group Stage - 3","Cameroon","Brazil","1-0","Win","35","7","3","42.9","0.33","3","14","5","77","65","Cameroon 控球率仅 35%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","855750","2022-11-26T13:00:00+00:00","Group Stage - 2","Poland","Saudi Arabia","2-0","Win","36","9","3","33.3","0.67","4","18","3","77","64","Poland 控球率仅 36%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","855757","2022-11-28T13:00:00+00:00","Group Stage - 2","Ghana","South Korea","3-2","Win","37","7","3","42.9","1","5","9","2","79","63","Ghana 控球率仅 37%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","866682","2022-11-25T10:00:00+00:00","Group Stage - 2","Iran","Wales","2-0","Win","38","21","6","28.6","0.33","7","10","2","66","62","Iran 控球率仅 38%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","978279","2022-12-13T19:00:00+00:00","Semi-finals","Argentina","Croatia","3-0","Win","39","9","7","77.8","0.43","2","15","2","83","61","Argentina 控球率仅 39%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","855761","2022-11-29T15:00:00+00:00","Group Stage - 3","Senegal","Ecuador","2-1","Win","39","14","3","21.4","0.67","6","11","1","68","61","Senegal 控球率仅 39%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","855769","2022-12-02T15:00:00+00:00","Group Stage - 3","South Korea","Portugal","2-1","Win","39","13","6","46.2","0.33","5","9","2","79","61","South Korea 控球率仅 39%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","978488","2022-12-14T19:00:00+00:00","Semi-finals","France","Morocco","2-0","Win","39","14","3","21.4","0.67","2","10","0","81","61","France 控球率仅 39%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","855767","2022-12-01T15:00:00+00:00","Group Stage - 3","Morocco","Canada","2-1","Win","41","6","2","33.3","1","2","14","0","79","59","Morocco 控球率仅 41%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","976533","2022-12-03T15:00:00+00:00","Round of 16","Netherlands","USA","3-1","Win","42","11","6","54.5","0.5","4","10","2","76","58","Netherlands 控球率仅 42%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","871852","2022-11-26T10:00:00+00:00","Group Stage - 2","Australia","Tunisia","1-0","Win","42","9","2","22.2","0.5","2","15","0","68","58","Australia 控球率仅 42%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","978036","2022-12-10T19:00:00+00:00","Quarter-finals","France","England","2-1","Win","43","8","5","62.5","0.4","2","14","3","81","57","France 控球率仅 43%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_possession_win","低控球赢球","871853","2022-11-27T10:00:00+00:00","Group Stage - 2","Costa Rica","Japan","1-0","Win","43","4","1","25","1","0","9","3","80","57","Costa Rica 控球率仅 43%，但赢下比赛。可能体现反击效率、防守结构或转换质量。"
"low_shots_win","低射门赢球","855753","2022-11-27T13:00:00+00:00","Group Stage - 2","Morocco","Belgium","2-0","Win","33","10","4","40","0.5","1","14","1","84","10","Morocco 全场射门 10 次但赢球，体现效率型比赛样本。"
"low_shots_win","低射门赢球","855734","2022-11-21T16:00:00+00:00","Group Stage - 1","Netherlands","Senegal","2-0","Win","53","10","3","30","0.67","7","13","1","81","10","Netherlands 全场射门 10 次但赢球，体现效率型比赛样本。"
