"team_name","matches_played","attack_level","defense_stability","possession_style","shot_quality_label","formation_label","most_used_formation","avg_ball_possession_pct","avg_total_shots","avg_shots_on_goal","avg_goals_for","avg_goals_against","fan_readable_summary","match_judgement_reference","data_basis","draft_status"
"England","5","高","稳","控球压制型","射正质量高","阵型稳定","4-3-3","61","14","6.33","2.6","0.8","England 的进攻火力处于强队区间，进球、射正或射门产量至少有两项比较突出；整体更偏控球压制，传控质量和阵地战耐心是观察重点；防守数据相对稳，失球和纪律风险可控；常用阵型是 4-3-3，战术结构有一定延续性。","不要只看控球率，要重点看射正质量和机会转化；面对该队时，要看对手能否打破其防守结构；如果对手能限制其中场传控，比赛走势可能会变化。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"France","7","高","中等","混合型","射正质量高","阵型稳定","4-2-3-1","49.67","13.17","5.17","2.29","1.14","France 的进攻火力处于强队区间，进球、射正或射门产量至少有两项比较突出；风格比较混合，需要结合对手类型判断；常用阵型是 4-2-3-1，战术结构有一定延续性。","不要只看控球率，要重点看射正质量和机会转化。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Germany","3","高","中等","均衡推进型","射正质量高","阵型相对稳定","4-2-3-1","52","21.5","7.5","2","1.67","Germany 的进攻火力处于强队区间，进球、射正或射门产量至少有两项比较突出；不是极端控球型，更偏均衡推进和效率转换；常用阵型是 4-2-3-1，战术结构有一定延续性。","不要只看控球率，要重点看射正质量和机会转化。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Ghana","3","中","中等","低控球反击型","射正质量高","阵型相对稳定","4-2-3-1","44","8.5","3.5","1.67","2.33","Ghana 的进攻产量中等，判断比赛时更需要看临场效率；不依赖长时间控球，更适合从反击质量和防守结构去理解；常用阵型是 4-2-3-1，战术结构有一定延续性。","不要只看控球率，要重点看射正质量和机会转化；即使控球率不高，也不能忽视其转换进攻威胁。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Iran","3","偏低","风险偏高","混合型","射正质量偏低","阵型有变化","4-4-1-1","49","4","1","1.33","2.33","Iran 的进攻产量偏低，通常更依赖少数高质量机会；风格比较混合，需要结合对手类型判断；防守端存在失球或纪律风险，面对强队时需要重点关注。","需要关注射门是否能真正转化为射正威胁；防守端要看失球、犯规和黄牌风险。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Japan","4","偏低","稳","低控球反击型","射正质量中等","阵型相对稳定","3-4-3","39","10.67","3.33","1.25","1","Japan 的进攻产量偏低，通常更依赖少数高质量机会；不依赖长时间控球，更适合从反击质量和防守结构去理解；防守数据相对稳，失球和纪律风险可控；常用阵型是 3-4-3，战术结构有一定延续性。","需要关注射门是否能真正转化为射正威胁；面对该队时，要看对手能否打破其防守结构；即使控球率不高，也不能忽视其转换进攻威胁。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Mexico","3","中","中等","均衡推进型","射正质量高","阵型有变化","4-2-3-1","51","15","6","0.67","1","Mexico 的进攻产量中等，判断比赛时更需要看临场效率；不是极端控球型，更偏均衡推进和效率转换。","不要只看控球率，要重点看射正质量和机会转化。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Morocco","7","偏低","稳","低控球反击型","射正质量中等","阵型稳定","4-3-3","39","8.83","2.67","0.86","0.71","Morocco 的进攻产量偏低，通常更依赖少数高质量机会；不依赖长时间控球，更适合从反击质量和防守结构去理解；防守数据相对稳，失球和纪律风险可控；常用阵型是 4-3-3，战术结构有一定延续性。","需要关注射门是否能真正转化为射正威胁；面对该队时，要看对手能否打破其防守结构；即使控球率不高，也不能忽视其转换进攻威胁。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Netherlands","5","中","中等","均衡推进型","射正质量高","阵型稳定","3-4-1-2","52.33","10","4","2","0.8","Netherlands 的进攻产量中等，判断比赛时更需要看临场效率；不是极端控球型，更偏均衡推进和效率转换；常用阵型是 3-4-1-2，战术结构有一定延续性。","不要只看控球率，要重点看射正质量和机会转化。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Poland","4","偏低","中等","低控球反击型","射正质量偏低","阵型有变化","4-1-4-1","36","8.33","2","0.75","1.25","Poland 的进攻产量偏低，通常更依赖少数高质量机会；不依赖长时间控球，更适合从反击质量和防守结构去理解。","需要关注射门是否能真正转化为射正威胁；即使控球率不高，也不能忽视其转换进攻威胁。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Portugal","5","高","中等","控球压制型","射正质量高","阵型稳定","4-3-3","60.5","13.75","5.25","2.4","1.2","Portugal 的进攻火力处于强队区间，进球、射正或射门产量至少有两项比较突出；整体更偏控球压制，传控质量和阵地战耐心是观察重点；常用阵型是 4-3-3，战术结构有一定延续性。","不要只看控球率，要重点看射正质量和机会转化；如果对手能限制其中场传控，比赛走势可能会变化。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Qatar","3","偏低","中等","低控球反击型","射正质量高","阵型有变化","5-3-2","37","5","3","0.33","2.33","Qatar 的进攻产量偏低，通常更依赖少数高质量机会；不依赖长时间控球，更适合从反击质量和防守结构去理解。","不要只看控球率，要重点看射正质量和机会转化；即使控球率不高，也不能忽视其转换进攻威胁。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Saudi Arabia","3","偏低","风险偏高","均衡推进型","射正质量偏低","阵型有变化","4-4-2","51.5","13","3.5","1","1.67","Saudi Arabia 的进攻产量偏低，通常更依赖少数高质量机会；不是极端控球型，更偏均衡推进和效率转换；防守端存在失球或纪律风险，面对强队时需要重点关注。","需要关注射门是否能真正转化为射正威胁；防守端要看失球、犯规和黄牌风险。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Senegal","4","偏低","中等","低控球反击型","射正质量偏低","阵型相对稳定","4-2-3-1","39","12","2","1.25","1.75","Senegal 的进攻产量偏低，通常更依赖少数高质量机会；不依赖长时间控球，更适合从反击质量和防守结构去理解；常用阵型是 4-2-3-1，战术结构有一定延续性。","需要关注射门是否能真正转化为射正威胁；即使控球率不高，也不能忽视其转换进攻威胁。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Serbia","3","中","风险偏高","均衡推进型","射正质量中等","阵型有变化","3-4-1-2","56.5","13.5","4.5","1.67","2.67","Serbia 的进攻产量中等，判断比赛时更需要看临场效率；不是极端控球型，更偏均衡推进和效率转换；防守端存在失球或纪律风险，面对强队时需要重点关注。","需要关注射门是否能真正转化为射正威胁；防守端要看失球、犯规和黄牌风险。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"South Korea","4","中","中等","混合型","射正质量高","阵型有变化","4-4-2","49.67","14.33","6.33","1.25","2","South Korea 的进攻产量中等，判断比赛时更需要看临场效率；风格比较混合，需要结合对手类型判断。","不要只看控球率，要重点看射正质量和机会转化。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Spain","4","中","稳","控球压制型","射正质量中等","阵型稳定","4-3-3","74.33","10.67","3","2.25","0.75","Spain 的进攻产量中等，判断比赛时更需要看临场效率；整体更偏控球压制，传控质量和阵地战耐心是观察重点；防守数据相对稳，失球和纪律风险可控；常用阵型是 4-3-3，战术结构有一定延续性。","需要关注射门是否能真正转化为射正威胁；面对该队时，要看对手能否打破其防守结构；如果对手能限制其中场传控，比赛走势可能会变化。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Switzerland","4","偏低","风险偏高","混合型","射正质量中等","阵型相对稳定","4-2-3-1","48","10","3.33","1.25","2.25","Switzerland 的进攻产量偏低，通常更依赖少数高质量机会；风格比较混合，需要结合对手类型判断；防守端存在失球或纪律风险，面对强队时需要重点关注；常用阵型是 4-2-3-1，战术结构有一定延续性。","需要关注射门是否能真正转化为射正威胁；防守端要看失球、犯规和黄牌风险。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Tunisia","3","偏低","稳","混合型","射正质量中等","阵型相对稳定","3-4-2-1","46","9.5","3.5","0.33","0.33","Tunisia 的进攻产量偏低，通常更依赖少数高质量机会；风格比较混合，需要结合对手类型判断；防守数据相对稳，失球和纪律风险可控；常用阵型是 3-4-2-1，战术结构有一定延续性。","需要关注射门是否能真正转化为射正威胁；面对该队时，要看对手能否打破其防守结构。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Uruguay","3","中","中等","低控球反击型","射正质量高","阵型有变化","4-4-2","44.5","11.5","5","0.67","0.67","Uruguay 的进攻产量中等，判断比赛时更需要看临场效率；不依赖长时间控球，更适合从反击质量和防守结构去理解。","不要只看控球率，要重点看射正质量和机会转化；即使控球率不高，也不能忽视其转换进攻威胁。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"USA","4","中","稳","均衡推进型","射正质量高","阵型相对稳定","4-3-3","54.5","14.5","6.5","0.75","1","USA 的进攻产量中等，判断比赛时更需要看临场效率；不是极端控球型，更偏均衡推进和效率转换；防守数据相对稳，失球和纪律风险可控；常用阵型是 4-3-3，战术结构有一定延续性。","不要只看控球率，要重点看射正质量和机会转化；面对该队时，要看对手能否打破其防守结构。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
"Wales","3","偏低","风险偏高","低控球反击型","射正质量偏低","阵型有变化","4-3-3","35","7","1","0.33","2","Wales 的进攻产量偏低，通常更依赖少数高质量机会；不依赖长时间控球，更适合从反击质量和防守结构去理解；防守端存在失球或纪律风险，面对强队时需要重点关注。","需要关注射门是否能真正转化为射正威胁；防守端要看失球、犯规和黄牌风险；即使控球率不高，也不能忽视其转换进攻威胁。","API-Football 2022 fixtures/statistics/lineups derived summary","draft_rule_v2"
